data    data_combined_Summer16PreVFP.root
DY      DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8_Summer16PreVFP.root   18610
DY      DYJetsToLL_M-50_TuneCP5_13TeV-amcatnloFXFX-pythia8_Summer16PreVFP.root      6077.22
WJets   WJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-pythia8_Summer16PreVFP.root           61526.7
TT      TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8_Summer16PreVFP_part1.root     364.35
TT      TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8_Summer16PreVFP.root                  87.31
QCD     QCD_Pt-15To20_MuEnrichedPt5_TuneCP5_13TeV_pythia8_Summer16PreVFP.root        3819570
QCD     QCD_Pt-20To30_MuEnrichedPt5_TuneCP5_13TeV_pythia8_Summer16PreVFP.root        2960198
QCD     QCD_Pt-30To50_MuEnrichedPt5_TuneCP5_13TeV_pythia8_Summer16PreVFP.root        1652471
QCD     QCD_Pt-50To80_MuEnrichedPt5_TuneCP5_13TeV-pythia8_Summer16PreVFP.root        437504
QCD     QCD_Pt-80To120_MuEnrichedPt5_TuneCP5_13TeV-pythia8_Summer16PreVFP.root       106034
QCD     QCD_Pt-120To170_MuEnrichedPt5_TuneCP5_13TeV_pythia8_Summer16PreVFP.root      25191
QCD     QCD_Pt-170To300_MuEnrichedPt5_TuneCP5_13TeV_pythia8_Summer16PreVFP.root      8654
QCD     QCD_Pt-300To470_MuEnrichedPt5_TuneCP5_13TeV_pythia8_Summer16PreVFP.root      797.35
QCD     QCD_Pt-470To600_MuEnrichedPt5_TuneCP5_13TeV_pythia8_Summer16PreVFP.root      79.026
QCD     QCD_Pt-600To800_MuEnrichedPt5_TuneCP5_13TeV_pythia8_Summer16PreVFP.root      25.095
QCD     QCD_Pt-800To1000_MuEnrichedPt5_TuneCP5_13TeV_pythia8_Summer16PreVFP.root     4.7074
QCD     QCD_Pt-1000_MuEnrichedPt5_TuneCP5_13TeV_pythia8_Summer16PreVFP.root          1.6213
