data    data_combined_Summer16PostVFP.root
DY      DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8_Summer16PostVFP.root      18610
DY      DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8_Summer16PostVFP_part1.root    6077.22
WJets   WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8_Summer16PostVFP.root               61526.7
TT      TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8_Summer16PostVFP_part1.root        364.35
TT      TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8_Summer16PostVFP.root                     87.31
#QCD     QCD_Pt-15to20_EMEnriched_TuneCP5_13TeV-pythia8_Summer16PostVFP.root      2302200
#QCD     QCD_Pt-20to30_EMEnriched_TuneCP5_13TeV-pythia8_Summer16PostVFP.root       5352960
QCD     QCD_Pt-30to50_EMEnriched_TuneCP5_13TeV-pythia8_Summer16PostVFP.root       9928000
QCD     QCD_Pt-50to80_EMEnriched_TuneCP5_13TeV-pythia8_Summer16PostVFP.root       2890800
QCD     QCD_Pt-80to120_EMEnriched_TuneCP5_13TeV-pythia8_Summer16PostVFP.root      350000
QCD     QCD_Pt-120to170_EMEnriched_TuneCP5_13TeV-pythia8_Summer16PostVFP.root     62964
QCD     QCD_Pt-170to300_EMEnriched_TuneCP5_13TeV-pythia8_Summer16PostVFP.root     18810
QCD     QCD_Pt-300toInf_EMEnriched_TuneCP5_13TeV-pythia8_Summer16PostVFP.root     1350
#QCD     QCD_Pt_15to20_bcToE_TuneCP5_13TeV_pythia8_Summer16PostVFP.root            254596
QCD     QCD_Pt_20to30_bcToE_TuneCP5_13TeV_pythia8_Summer16PostVFP.root            329000
QCD     QCD_Pt_30to80_bcToE_TuneCP5_13TeV_pythia8_Summer16PostVFP.root            405623
QCD     QCD_Pt_80to170_bcToE_TuneCP5_13TeV_pythia8_Summer16PostVFP.root           38104
QCD     QCD_Pt_170to250_bcToE_TuneCP5_13TeV_pythia8_Summer16PostVFP.root          2636
QCD     QCD_Pt_250toInf_bcToE_TuneCP5_13TeV_pythia8_Summer16PostVFP.root          711.9
