data            data_combined_Autumn18.root
DY              DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8_Autumn18.root               18610
#DY              DYJetsToLL_M-50_TuneCP5_13TeV-amcatnloFXFX-pythia8_Autumn18.root                  6077.22 
DY              DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8_Autumn18.root                   6077.22 
WJets           WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8_Autumn18.root                        61526.7
TT              TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8_Autumn18.root                       364.35080448
TT              TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8_Autumn18.root                              87.31483776
VV              VVTo2L2Nu_13TeV_amcatnloFXFX_madspin_pythia8_Autumn18.root                        11.95
VV              WWTo1L1Nu2Q_13TeV_amcatnloFXFX_madspin_pythia8_Autumn18.root                      45.72
VV              WZTo1L3Nu_13TeV_amcatnloFXFX_madspin_pythia8_Autumn18.root                        3.067
#missing sample WZTo1L2Q
